Measurement date,Station code,Item code,Average value,Instrument status
01-01-2017 14:00,111,5,1,0
01-01-2017 14:00,111,6,0.004,0
01-01-2017 14:00,111,8,78,0
01-01-2017 14:00,111,9,47,0
01-01-2017 14:00,112,1,0.007,0
01-01-2017 14:00,112,3,0.059,0
01-01-2017 14:00,112,5,0.1,9
01-01-2017 14:00,112,6,0.006,0
01-01-2017 14:00,112,8,95,0
01-01-2017 14:00,112,9,81,0
01-01-2017 14:00,113,1,0.007,0
01-01-2017 14:00,113,3,0.059,0
01-01-2017 14:00,113,5,0.9,0
01-01-2017 14:00,113,6,0.007,0
01-01-2017 14:00,113,8,106,0
01-01-2017 14:00,113,9,51,0
01-01-2017 14:00,114,1,0.008,0
01-01-2017 14:00,114,3,0.051,0
01-01-2017 14:00,114,5,0.8,0
01-01-2017 14:00,114,6,0.011,0
01-01-2017 14:00,114,8,86,0
01-01-2017 14:00,114,9,68,0
01-01-2017 14:00,115,1,0.006,0
01-01-2017 14:00,115,3,0.038,0
01-01-2017 14:00,115,5,0.8,0
01-01-2017 14:00,115,6,0.012,0
01-01-2017 14:00,115,8,88,0
01-01-2017 14:00,115,9,56,0
01-01-2017 14:00,116,1,0.007,0
01-01-2017 14:00,116,3,0.03,0
01-01-2017 14:00,116,5,0.6,0
01-01-2017 14:00,116,6,0.026,0
01-01-2017 14:00,116,8,73,0
01-01-2017 14:00,116,9,45,0
01-01-2017 14:00,117,1,0.009,0
01-01-2017 14:00,117,3,0.028,0
01-01-2017 14:00,117,5,0.7,0
01-01-2017 14:00,117,6,0.018,0
01-01-2017 14:00,117,8,102,0
01-01-2017 14:00,117,9,51,0
01-01-2017 14:00,118,1,0.007,0
01-01-2017 14:00,118,3,0.038,0
01-01-2017 14:00,118,5,0.7,0
01-01-2017 14:00,118,6,0.023,0
01-01-2017 14:00,118,8,70,0
01-01-2017 14:00,118,9,47,0
01-01-2017 14:00,119,1,0.004,0
01-01-2017 14:00,119,3,0.032,0
01-01-2017 14:00,119,5,0.9,0
01-01-2017 14:00,119,6,0.007,0
01-01-2017 14:00,119,8,78,0
01-01-2017 14:00,119,9,73,0
01-01-2017 14:00,120,1,0.006,0
01-01-2017 14:00,120,3,0.063,0
01-01-2017 14:00,120,5,0.1,9
01-01-2017 14:00,120,6,0.005,0
01-01-2017 14:00,120,8,86,0
01-01-2017 14:00,120,9,71,0
01-01-2017 14:00,121,1,0.008,0
01-01-2017 14:00,121,3,0.068,0
01-01-2017 14:00,121,5,1.1,0
01-01-2017 14:00,121,6,0.005,0
01-01-2017 14:00,121,8,89,0
01-01-2017 14:00,121,9,63,0
01-01-2017 14:00,122,1,0.006,0
01-01-2017 14:00,122,3,0.051,0
01-01-2017 14:00,122,5,1,0
01-01-2017 14:00,122,6,0.006,0
01-01-2017 14:00,122,8,100,0
01-01-2017 14:00,122,9,56,0
01-01-2017 14:00,123,1,0.005,0
01-01-2017 14:00,123,3,0.047,0
01-01-2017 14:00,123,5,0.8,0
01-01-2017 14:00,123,6,0.004,0
01-01-2017 14:00,123,8,91,0
01-01-2017 14:00,123,9,84,0
01-01-2017 14:00,124,1,0.006,0
01-01-2017 14:00,124,3,0.046,0
01-01-2017 14:00,124,5,0.9,0
01-01-2017 14:00,124,6,0.007,0
01-01-2017 14:00,124,8,73,0
01-01-2017 14:00,124,9,47,0
01-01-2017 14:00,125,1,0.004,0
01-01-2017 14:00,125,3,0.035,0
01-01-2017 14:00,125,5,0.7,0
01-01-2017 14:00,125,6,0.009,0
01-01-2017 14:00,125,8,88,0
01-01-2017 14:00,125,9,54,0
01-01-2017 15:00,101,1,0.006,0
01-01-2017 15:00,101,3,0.056,0
01-01-2017 15:00,101,5,0.8,0
01-01-2017 15:00,101,6,0.008,0
01-01-2017 15:00,101,8,87,0
01-01-2017 15:00,101,9,69,0
01-01-2017 15:00,102,1,0.007,0
01-01-2017 15:00,102,3,0.054,0
01-01-2017 15:00,102,5,0.7,0
01-01-2017 15:00,102,6,0.009,0
01-01-2017 15:00,102,8,82,0
01-01-2017 15:00,102,9,62,0
01-01-2017 15:00,103,1,0.007,0
01-01-2017 15:00,103,3,0.046,0
01-01-2017 15:00,103,5,0.9,0
01-01-2017 15:00,103,6,0.004,0
01-01-2017 15:00,103,8,89,0
01-01-2017 15:00,103,9,79,0
01-01-2017 15:00,104,1,0.009,0
01-01-2017 15:00,104,3,0.043,0
01-01-2017 15:00,104,5,0.8,0
01-01-2017 15:00,104,6,0.007,0
01-01-2017 15:00,104,8,97,0
01-01-2017 15:00,104,9,50,0
01-01-2017 15:00,105,1,0.006,0
01-01-2017 15:00,105,3,0.04,0
01-01-2017 15:00,105,5,0.7,0
01-01-2017 15:00,105,6,0.013,0
01-01-2017 15:00,105,8,102,0
01-01-2017 15:00,105,9,48,0
01-01-2017 15:00,106,1,0.006,0
01-01-2017 15:00,106,3,0.05,0
01-01-2017 15:00,106,5,0.9,0
01-01-2017 15:00,106,6,0.01,0
01-01-2017 15:00,106,8,79,0
01-01-2017 15:00,106,9,70,0
01-01-2017 15:00,107,1,0.005,0
01-01-2017 15:00,107,3,0.054,0
01-01-2017 15:00,107,5,0.7,0
01-01-2017 15:00,107,6,0.004,0
01-01-2017 15:00,107,8,114,0
01-01-2017 15:00,107,9,61,0
01-01-2017 15:00,108,1,0.005,0
01-01-2017 15:00,108,3,0.05,0
01-01-2017 15:00,108,5,0.8,0
01-01-2017 15:00,108,6,0.009,0
01-01-2017 15:00,108,8,90,0
01-01-2017 15:00,108,9,81,0
01-01-2017 15:00,109,1,0.007,0
01-01-2017 15:00,109,3,0.052,0
01-01-2017 15:00,109,5,0.9,0
01-01-2017 15:00,109,6,0.005,0
01-01-2017 15:00,109,8,106,0
01-01-2017 15:00,109,9,64,0
01-01-2017 15:00,110,1,0.006,0
01-01-2017 15:00,110,3,0.041,0
01-01-2017 15:00,110,5,0.6,0
01-01-2017 15:00,110,6,0.009,0
01-01-2017 15:00,110,8,85,0
01-01-2017 15:00,110,9,64,0
01-01-2017 15:00,111,1,0.006,0
01-01-2017 15:00,111,3,0.06,0
01-01-2017 15:00,111,5,1.1,0
01-01-2017 15:00,111,6,0.003,0
01-01-2017 15:00,111,8,80,0
01-01-2017 15:00,111,9,55,0
01-01-2017 15:00,112,1,0.007,0
01-01-2017 15:00,112,3,0.063,0
01-01-2017 15:00,112,5,0.1,9
01-01-2017 15:00,112,6,0.005,0
01-01-2017 15:00,112,8,95,0
01-01-2017 15:00,112,9,79,0
01-01-2017 15:00,113,1,0.007,0
01-01-2017 15:00,113,3,0.062,0
01-01-2017 15:00,113,5,0.9,0
01-01-2017 15:00,113,6,0.004,0
01-01-2017 15:00,113,8,100,0
01-01-2017 15:00,113,9,51,0
01-01-2017 15:00,114,1,0.008,0
01-01-2017 15:00,114,3,0.057,0
01-01-2017 15:00,114,5,0.9,0
01-01-2017 15:00,114,6,0.008,0
01-01-2017 15:00,114,8,89,0
01-01-2017 15:00,114,9,70,0
01-01-2017 15:00,115,1,0.006,0
01-01-2017 15:00,115,3,0.036,0
01-01-2017 15:00,115,5,0.7,0
01-01-2017 15:00,115,6,0.012,0
01-01-2017 15:00,115,8,73,0
01-01-2017 15:00,115,9,43,0
01-01-2017 15:00,116,1,0.006,0
01-01-2017 15:00,116,3,0.031,0
01-01-2017 15:00,116,5,0.5,0
01-01-2017 15:00,116,6,0.025,0
01-01-2017 15:00,116,8,62,0
01-01-2017 15:00,116,9,34,0
01-01-2017 15:00,117,1,0.009,0
01-01-2017 15:00,117,3,0.025,0
01-01-2017 15:00,117,5,0.6,0
01-01-2017 15:00,117,6,0.022,0
01-01-2017 15:00,117,8,78,0
01-01-2017 15:00,117,9,34,0
01-01-2017 15:00,118,1,0.007,0
01-01-2017 15:00,118,3,0.041,0
01-01-2017 15:00,118,5,0.7,0
01-01-2017 15:00,118,6,0.019,0
01-01-2017 15:00,118,8,71,0
01-01-2017 15:00,118,9,46,0
01-01-2017 15:00,119,1,0.005,0
01-01-2017 15:00,119,3,0.022,0
01-01-2017 15:00,119,5,0.7,0
01-01-2017 15:00,119,6,0.019,0
01-01-2017 15:00,119,8,62,0
01-01-2017 15:00,119,9,52,0
01-01-2017 15:00,120,1,0.007,0
01-01-2017 15:00,120,3,0.064,0
01-01-2017 15:00,120,5,0.9,0
01-01-2017 15:00,120,6,0.006,0
01-01-2017 15:00,120,8,81,0
01-01-2017 15:00,120,9,67,0
01-01-2017 15:00,121,1,0.009,0
01-01-2017 15:00,121,3,0.048,0
01-01-2017 15:00,121,5,0.8,0
01-01-2017 15:00,121,6,0.014,0
01-01-2017 15:00,121,8,75,0
01-01-2017 15:00,121,9,55,0
01-01-2017 15:00,122,1,0.007,0
01-01-2017 15:00,122,3,0.053,0
01-01-2017 15:00,122,5,1.1,0
01-01-2017 15:00,122,6,0.009,0
01-01-2017 15:00,122,8,95,0
01-01-2017 15:00,122,9,50,0
01-01-2017 15:00,123,1,0.005,0
01-01-2017 15:00,123,3,0.046,0
01-01-2017 15:00,123,5,0.7,0
01-01-2017 15:00,123,6,0.003,0
01-01-2017 15:00,123,8,98,0
01-01-2017 15:00,123,9,66,0
01-01-2017 15:00,124,1,0.006,0
01-01-2017 15:00,124,3,0.048,0
01-01-2017 15:00,124,5,0.9,0
01-01-2017 15:00,124,6,0.007,0
01-01-2017 15:00,124,8,70,0
01-01-2017 15:00,124,9,56,0
01-01-2017 15:00,125,1,0.005,0
01-01-2017 15:00,125,3,0.039,0
01-01-2017 15:00,125,5,0.7,0
01-01-2017 15:00,125,6,0.01,0
01-01-2017 15:00,125,8,81,0
01-01-2017 15:00,125,9,46,0
01-01-2017 16:00,101,1,0.006,0
01-01-2017 16:00,101,3,0.063,0
01-01-2017 16:00,101,5,0.9,0
01-01-2017 16:00,101,6,0.004,0
01-01-2017 16:00,101,8,87,0
01-01-2017 16:00,101,9,69,0
01-01-2017 16:00,102,1,0.007,0
01-01-2017 16:00,102,3,0.058,0
01-01-2017 16:00,102,5,0.7,0
01-01-2017 16:00,102,6,0.006,0
01-01-2017 16:00,102,8,82,0
01-01-2017 16:00,102,9,61,0
01-01-2017 16:00,103,1,0.006,0
01-01-2017 16:00,103,3,0.047,0
01-01-2017 16:00,103,5,0.9,0
01-01-2017 16:00,103,6,0.004,0
01-01-2017 16:00,103,8,85,0
01-01-2017 16:00,103,9,75,0
01-01-2017 16:00,104,1,0.008,0
01-01-2017 16:00,104,3,0.044,0
01-01-2017 16:00,104,5,0.7,0
01-01-2017 16:00,104,6,0.007,0
01-01-2017 16:00,104,8,97,0
01-01-2017 16:00,104,9,44,0
01-01-2017 16:00,105,1,0.006,0
01-01-2017 16:00,105,3,0.039,0
01-01-2017 16:00,105,5,0.7,0
01-01-2017 16:00,105,6,0.014,0
01-01-2017 16:00,105,8,91,0
01-01-2017 16:00,105,9,59,0
01-01-2017 16:00,106,1,0.006,0
01-01-2017 16:00,106,3,0.055,0
01-01-2017 16:00,106,5,0.9,0
01-01-2017 16:00,106,6,0.006,0
01-01-2017 16:00,106,8,77,0
01-01-2017 16:00,106,9,66,0
01-01-2017 16:00,107,1,0.005,0
01-01-2017 16:00,107,3,0.053,0
01-01-2017 16:00,107,5,0.8,0
01-01-2017 16:00,107,6,0.004,0
01-01-2017 16:00,107,8,96,0
01-01-2017 16:00,107,9,58,0
01-01-2017 16:00,108,1,0.005,0
01-01-2017 16:00,108,3,0.051,0
01-01-2017 16:00,108,5,0.8,0
01-01-2017 16:00,108,6,0.009,0
01-01-2017 16:00,108,8,87,0
01-01-2017 16:00,108,9,78,0
01-01-2017 16:00,109,1,0.006,0
01-01-2017 16:00,109,3,0.054,0
01-01-2017 16:00,109,5,1,0
01-01-2017 16:00,109,6,0.003,0
01-01-2017 16:00,109,8,91,0
01-01-2017 16:00,109,9,61,0
01-01-2017 16:00,110,1,0.005,0
01-01-2017 16:00,110,3,0.04,0
01-01-2017 16:00,110,5,0.6,0
01-01-2017 16:00,110,6,0.009,0
01-01-2017 16:00,110,8,81,0
01-01-2017 16:00,110,9,60,0
01-01-2017 16:00,111,1,0.006,0
01-01-2017 16:00,111,3,0.058,0
01-01-2017 16:00,111,5,1.1,0
01-01-2017 16:00,111,6,0.003,0
01-01-2017 16:00,111,8,79,0
01-01-2017 16:00,111,9,61,0
01-01-2017 16:00,112,1,0.006,0
01-01-2017 16:00,112,3,0.061,0
01-01-2017 16:00,112,5,0.1,9
01-01-2017 16:00,112,6,0.003,0
01-01-2017 16:00,112,8,93,0
01-01-2017 16:00,112,9,80,0
01-01-2017 16:00,113,1,0.006,0
01-01-2017 16:00,113,3,0.06,0
01-01-2017 16:00,113,5,0.9,0
01-01-2017 16:00,113,6,0.004,0
01-01-2017 16:00,113,8,91,0
01-01-2017 16:00,113,9,63,0
01-01-2017 16:00,114,1,0.008,0
01-01-2017 16:00,114,3,0.06,0
01-01-2017 16:00,114,5,0.9,0
01-01-2017 16:00,114,6,0.005,0
01-01-2017 16:00,114,8,90,0
01-01-2017 16:00,114,9,70,0
01-01-2017 16:00,115,1,0.005,0
01-01-2017 16:00,115,3,0.038,0
01-01-2017 16:00,115,5,0.7,0
01-01-2017 16:00,115,6,0.011,0
01-01-2017 16:00,115,8,72,0
01-01-2017 16:00,115,9,42,0
01-01-2017 16:00,116,1,0.008,0
01-01-2017 16:00,116,3,0.052,0
01-01-2017 16:00,116,5,0.7,0
01-01-2017 16:00,116,6,0.007,0
01-01-2017 16:00,116,8,73,0
01-01-2017 16:00,116,9,41,0
01-01-2017 16:00,117,1,0.009,0
01-01-2017 16:00,117,3,0.028,0
01-01-2017 16:00,117,5,0.5,0
01-01-2017 16:00,117,6,0.02,0
01-01-2017 16:00,117,8,66,0
01-01-2017 16:00,117,9,32,0
01-01-2017 16:00,118,1,0.006,0
01-01-2017 16:00,118,3,0.044,0
01-01-2017 16:00,118,5,0.6,0
01-01-2017 16:00,118,6,0.019,0
01-01-2017 16:00,118,8,69,0
01-01-2017 16:00,118,9,45,0
01-01-2017 16:00,119,1,0.005,0
01-01-2017 16:00,119,3,0.024,0
01-01-2017 16:00,119,5,0.8,0
01-01-2017 16:00,119,6,0.016,0
01-01-2017 16:00,119,8,56,0
01-01-2017 16:00,119,9,40,0
01-01-2017 16:00,120,1,0.006,0
01-01-2017 16:00,120,3,0.056,0
01-01-2017 16:00,120,5,0.8,0
01-01-2017 16:00,120,6,0.011,0
01-01-2017 16:00,120,8,74,0
01-01-2017 16:00,120,9,55,0
01-01-2017 16:00,121,1,0.009,0
01-01-2017 16:00,121,3,0.046,0
01-01-2017 16:00,121,5,0.7,0
01-01-2017 16:00,121,6,0.015,0
01-01-2017 16:00,121,8,69,0
01-01-2017 16:00,121,9,48,0
01-01-2017 16:00,122,1,0.006,0
01-01-2017 16:00,122,3,0.056,0
01-01-2017 16:00,122,5,1.2,0
01-01-2017 16:00,122,6,0.005,0
01-01-2017 16:00,122,8,86,0
01-01-2017 16:00,122,9,49,0
01-01-2017 16:00,123,1,0.006,0
01-01-2017 16:00,123,3,0.047,0
01-01-2017 16:00,123,5,0.7,0
01-01-2017 16:00,123,6,0.003,0
01-01-2017 16:00,123,8,98,0
01-01-2017 16:00,123,9,63,0
01-01-2017 16:00,124,1,0.006,0
01-01-2017 16:00,124,3,0.047,0
01-01-2017 16:00,124,5,0.9,0
01-01-2017 16:00,124,6,0.008,0
01-01-2017 16:00,124,8,67,0
01-01-2017 16:00,124,9,66,0
01-01-2017 16:00,125,1,0.004,0
01-01-2017 16:00,125,3,0.048,0
01-01-2017 16:00,125,5,0.8,0
01-01-2017 16:00,125,6,0.005,0
01-01-2017 16:00,125,8,87,0
01-01-2017 16:00,125,9,54,0
01-01-2017 17:00,101,1,0.005,0
01-01-2017 17:00,101,3,0.063,0
01-01-2017 17:00,101,5,0.9,0
01-01-2017 17:00,101,6,0.002,0
01-01-2017 17:00,101,8,91,0
01-01-2017 17:00,101,9,72,0
01-01-2017 17:00,102,1,0.006,0
01-01-2017 17:00,102,3,0.068,0
01-01-2017 17:00,102,5,0.9,0
01-01-2017 17:00,102,6,0.002,0
01-01-2017 17:00,102,8,87,0
01-01-2017 17:00,102,9,66,0
01-01-2017 17:00,103,1,0.006,0
01-01-2017 17:00,103,3,0.048,0
01-01-2017 17:00,103,5,1,0
01-01-2017 17:00,103,6,0.001,0
01-01-2017 17:00,103,8,85,0
01-01-2017 17:00,103,9,78,0
01-01-2017 17:00,104,1,0.007,0
01-01-2017 17:00,104,3,0.046,0
01-01-2017 17:00,104,5,0.8,0
01-01-2017 17:00,104,6,0.007,0
01-01-2017 17:00,104,8,90,0
01-01-2017 17:00,104,9,54,0
01-01-2017 17:00,105,1,0.006,0
01-01-2017 17:00,105,3,0.041,0
01-01-2017 17:00,105,5,0.7,0
01-01-2017 17:00,105,6,0.017,0
01-01-2017 17:00,105,8,108,0
01-01-2017 17:00,105,9,57,0
01-01-2017 17:00,106,1,0.006,0
01-01-2017 17:00,106,3,0.063,0
01-01-2017 17:00,106,5,1,0
01-01-2017 17:00,106,6,0.003,0
01-01-2017 17:00,106,8,83,0
01-01-2017 17:00,106,9,69,0
01-01-2017 17:00,107,1,0.005,0
01-01-2017 17:00,107,3,0.048,0
01-01-2017 17:00,107,5,0.7,0
01-01-2017 17:00,107,6,0.003,0
01-01-2017 17:00,107,8,81,0
01-01-2017 17:00,107,9,60,0
01-01-2017 17:00,108,1,0.005,0
01-01-2017 17:00,108,3,0.058,0
01-01-2017 17:00,108,5,0.8,0
01-01-2017 17:00,108,6,0.004,0
01-01-2017 17:00,108,8,89,0
01-01-2017 17:00,108,9,76,0
01-01-2017 17:00,109,1,0.006,0
01-01-2017 17:00,109,3,0.055,0
01-01-2017 17:00,109,5,1,0
01-01-2017 17:00,109,6,0.002,0
01-01-2017 17:00,109,8,95,0
01-01-2017 17:00,109,9,65,0
01-01-2017 17:00,110,1,0.005,0
01-01-2017 17:00,110,3,0.044,0
01-01-2017 17:00,110,5,0.6,0
01-01-2017 17:00,110,6,0.006,0
01-01-2017 17:00,110,8,87,0
01-01-2017 17:00,110,9,63,0
01-01-2017 17:00,111,1,0.006,0
01-01-2017 17:00,111,3,0.058,0
01-01-2017 17:00,111,5,1,0
01-01-2017 17:00,111,6,0.002,0
01-01-2017 17:00,111,8,78,0
01-01-2017 17:00,111,9,63,0
01-01-2017 17:00,112,1,0.005,0
01-01-2017 17:00,112,3,0.056,0
01-01-2017 17:00,112,5,1.2,0
01-01-2017 17:00,112,6,0.002,0
01-01-2017 17:00,112,8,95,0
01-01-2017 17:00,112,9,79,0
01-01-2017 17:00,113,1,0.006,0
01-01-2017 17:00,113,3,0.061,0
01-01-2017 17:00,113,5,0.9,0
01-01-2017 17:00,113,6,0.002,0
01-01-2017 17:00,113,8,83,0
01-01-2017 17:00,113,9,74,0
01-01-2017 17:00,114,1,0.009,0
01-01-2017 17:00,114,3,0.064,0
01-01-2017 17:00,114,5,1,0
01-01-2017 17:00,114,6,0.003,0
01-01-2017 17:00,114,8,90,0
01-01-2017 17:00,114,9,71,0
01-01-2017 17:00,115,1,0.005,0
01-01-2017 17:00,115,3,0.042,0
01-01-2017 17:00,115,5,0.7,0
01-01-2017 17:00,115,6,0.008,0
01-01-2017 17:00,115,8,62,0
01-01-2017 17:00,115,9,36,0
01-01-2017 17:00,116,1,0.007,0
01-01-2017 17:00,116,3,0.04,0
01-01-2017 17:00,116,5,0.6,0
01-01-2017 17:00,116,6,0.018,0
01-01-2017 17:00,116,8,56,0
01-01-2017 17:00,116,9,37,0
01-01-2017 17:00,117,1,0.009,0
01-01-2017 17:00,117,3,0.032,0
01-01-2017 17:00,117,5,0.6,0
01-01-2017 17:00,117,6,0.017,0
01-01-2017 17:00,117,8,57,0
01-01-2017 17:00,117,9,51,0
01-01-2017 17:00,118,1,0.006,0
01-01-2017 17:00,118,3,0.055,0
01-01-2017 17:00,118,5,0.8,0
01-01-2017 17:00,118,6,0.011,0
01-01-2017 17:00,118,8,58,0
01-01-2017 17:00,118,9,40,0
01-01-2017 17:00,119,1,0.004,0
01-01-2017 17:00,119,3,0.026,0
01-01-2017 17:00,119,5,0.9,0
01-01-2017 17:00,119,6,0.014,0
01-01-2017 17:00,119,8,61,0
01-01-2017 17:00,119,9,47,0
01-01-2017 17:00,120,1,0.006,0
01-01-2017 17:00,120,3,0.064,0
01-01-2017 17:00,120,5,0.9,0
01-01-2017 17:00,120,6,0.003,0
01-01-2017 17:00,120,8,68,0
01-01-2017 17:00,120,9,52,0
01-01-2017 17:00,121,1,0.008,0
01-01-2017 17:00,121,3,0.051,0
01-01-2017 17:00,121,5,0.7,0
01-01-2017 17:00,121,6,0.015,0
01-01-2017 17:00,121,8,59,0
01-01-2017 17:00,121,9,45,0
01-01-2017 17:00,122,1,0.006,0
01-01-2017 17:00,122,3,0.054,0
01-01-2017 17:00,122,5,1.1,0
01-01-2017 17:00,122,6,0.004,0
01-01-2017 17:00,122,8,108,0
01-01-2017 17:00,122,9,45,0
01-01-2017 17:00,123,1,0.005,0
01-01-2017 17:00,123,3,0.05,0
01-01-2017 17:00,123,5,0.8,0
01-01-2017 17:00,123,6,0.002,0
01-01-2017 17:00,123,8,93,0
01-01-2017 17:00,123,9,61,0
01-01-2017 17:00,124,1,0.005,0
01-01-2017 17:00,124,3,0.05,0
01-01-2017 17:00,124,5,1,0
01-01-2017 17:00,124,6,0.004,0
01-01-2017 17:00,124,8,70,0
01-01-2017 17:00,124,9,56,0
01-01-2017 17:00,125,1,0.004,0
01-01-2017 17:00,125,3,0.051,0
01-01-2017 17:00,125,5,0.9,0
01-01-2017 17:00,125,6,0.002,0
01-01-2017 17:00,125,8,86,0
01-01-2017 17:00,125,9,48,0
01-01-2017 18:00,101,1,0.005,0
01-01-2017 18:00,101,3,0.063,0
01-01-2017 18:00,101,5,1,0
01-01-2017 18:00,101,6,0.002,0
01-01-2017 18:00,101,8,91,0
01-01-2017 18:00,101,9,69,0
01-01-2017 18:00,102,1,0.006,0
01-01-2017 18:00,102,3,0.069,0
01-01-2017 18:00,102,5,1.1,0
01-01-2017 18:00,102,6,0.002,0
01-01-2017 18:00,102,8,94,0
01-01-2017 18:00,102,9,70,0
01-01-2017 18:00,103,1,0.005,0
01-01-2017 18:00,103,3,0.046,0
01-01-2017 18:00,103,5,1,0
01-01-2017 18:00,103,6,0.001,0
01-01-2017 18:00,103,8,81,0
01-01-2017 18:00,103,9,79,0
01-01-2017 18:00,104,1,0.007,0
01-01-2017 18:00,104,3,0.048,0
01-01-2017 18:00,104,5,0.9,0
01-01-2017 18:00,104,6,0.007,0
01-01-2017 18:00,104,8,85,0
01-01-2017 18:00,104,9,54,0
01-01-2017 18:00,105,1,0.006,0
01-01-2017 18:00,105,3,0.043,0
01-01-2017 18:00,105,5,0.8,0
01-01-2017 18:00,105,6,0.01,0
01-01-2017 18:00,105,8,107,0
01-01-2017 18:00,105,9,56,0
01-01-2017 18:00,106,1,0.005,0
01-01-2017 18:00,106,3,0.063,0
01-01-2017 18:00,106,5,1.1,0
01-01-2017 18:00,106,6,0.003,0
01-01-2017 18:00,106,8,86,0
01-01-2017 18:00,106,9,78,0
01-01-2017 18:00,107,1,0.004,0
01-01-2017 18:00,107,3,0.051,0
01-01-2017 18:00,107,5,0.7,0
01-01-2017 18:00,107,6,0.002,0
01-01-2017 18:00,107,8,85,0
01-01-2017 18:00,107,9,74,0
01-01-2017 18:00,108,1,0.005,0
01-01-2017 18:00,108,3,0.052,0
01-01-2017 18:00,108,5,0.8,0
01-01-2017 18:00,108,6,0.004,0
01-01-2017 18:00,108,8,89,0
01-01-2017 18:00,108,9,81,0
01-01-2017 18:00,109,1,0.006,0
01-01-2017 18:00,109,3,0.056,0
01-01-2017 18:00,109,5,1,0
01-01-2017 18:00,109,6,0.002,0
01-01-2017 18:00,109,8,107,0
01-01-2017 18:00,109,9,64,0
01-01-2017 18:00,110,1,0.005,0
01-01-2017 18:00,110,3,0.038,0
01-01-2017 18:00,110,5,0.6,0
01-01-2017 18:00,110,6,0.006,0
01-01-2017 18:00,110,8,102,0
01-01-2017 18:00,110,9,74,0
01-01-2017 18:00,111,1,0.006,0
01-01-2017 18:00,111,3,0.056,0
01-01-2017 18:00,111,5,0.9,0
01-01-2017 18:00,111,6,0.002,0
01-01-2017 18:00,111,8,95,0
01-01-2017 18:00,111,9,56,0
01-01-2017 18:00,112,1,0.005,0
01-01-2017 18:00,112,3,0.051,0
01-01-2017 18:00,112,5,1.1,0
01-01-2017 18:00,112,6,0.002,0
01-01-2017 18:00,112,8,92,0
01-01-2017 18:00,112,9,80,0
01-01-2017 18:00,113,1,0.005,0
01-01-2017 18:00,113,3,0.061,0
01-01-2017 18:00,113,5,0.9,0
01-01-2017 18:00,113,6,0.002,0
01-01-2017 18:00,113,8,88,0
01-01-2017 18:00,113,9,61,0
01-01-2017 18:00,114,1,0.008,0
01-01-2017 18:00,114,3,0.063,0
01-01-2017 18:00,114,5,1.1,0
01-01-2017 18:00,114,6,0.002,0
01-01-2017 18:00,114,8,93,0
01-01-2017 18:00,114,9,70,0
01-01-2017 18:00,115,1,0.005,0
01-01-2017 18:00,115,3,0.049,0
01-01-2017 18:00,115,5,0.8,0
01-01-2017 18:00,115,6,0.004,0
01-01-2017 18:00,115,8,62,0
01-01-2017 18:00,115,9,36,0
01-01-2017 18:00,116,1,0.006,0
01-01-2017 18:00,116,3,0.056,0
01-01-2017 18:00,116,5,0.7,0
01-01-2017 18:00,116,6,0.006,0
01-01-2017 18:00,116,8,46,0
01-01-2017 18:00,116,9,48,9
01-01-2017 18:00,117,1,0.008,0
01-01-2017 18:00,117,3,0.04,0
01-01-2017 18:00,117,5,0.7,0
01-01-2017 18:00,117,6,0.009,0
01-01-2017 18:00,117,8,62,0
01-01-2017 18:00,117,9,49,0
01-01-2017 18:00,118,1,0.005,0
01-01-2017 18:00,118,3,0.064,0
01-01-2017 18:00,118,5,1,0
01-01-2017 18:00,118,6,0.002,0
01-01-2017 18:00,118,8,59,0
01-01-2017 18:00,118,9,37,0
01-01-2017 18:00,119,1,0.004,0
01-01-2017 18:00,119,3,0.036,0
01-01-2017 18:00,119,5,1,0
01-01-2017 18:00,119,6,0.004,0
01-01-2017 18:00,119,8,73,0
01-01-2017 18:00,119,9,49,0
01-01-2017 18:00,120,1,0.005,0
01-01-2017 18:00,120,3,0.071,0
01-01-2017 18:00,120,5,1.1,0
01-01-2017 18:00,120,6,0.002,0
01-01-2017 18:00,120,8,74,0
01-01-2017 18:00,120,9,59,0
01-01-2017 18:00,121,1,0.007,0
01-01-2017 18:00,121,3,0.067,0
01-01-2017 18:00,121,5,1,0
01-01-2017 18:00,121,6,0.007,0
01-01-2017 18:00,121,8,72,0
01-01-2017 18:00,121,9,51,0
01-01-2017 18:00,122,1,0.006,0
01-01-2017 18:00,122,3,0.053,0
01-01-2017 18:00,122,5,1,0
01-01-2017 18:00,122,6,0.004,0
01-01-2017 18:00,122,8,103,0
01-01-2017 18:00,122,9,65,0
01-01-2017 18:00,123,1,0.005,0
01-01-2017 18:00,123,3,0.05,0
01-01-2017 18:00,123,5,0.8,0
01-01-2017 18:00,123,6,0.002,0
01-01-2017 18:00,123,8,88,0
01-01-2017 18:00,123,9,57,0
01-01-2017 18:00,124,1,0.005,0
01-01-2017 18:00,124,3,0.05,0
01-01-2017 18:00,124,5,1,0
01-01-2017 18:00,124,6,0.003,0
01-01-2017 18:00,124,8,67,0
01-01-2017 18:00,124,9,53,0
01-01-2017 18:00,125,1,0.004,0
01-01-2017 18:00,125,3,0.05,0
01-01-2017 18:00,125,5,0.9,0
01-01-2017 18:00,125,6,0.002,0
01-01-2017 18:00,125,8,106,0
01-01-2017 18:00,125,9,77,0
01-01-2017 19:00,101,1,0.005,0
